iter	Passed	Remaining
850	4457	780
851	4462	775
852	4467	769
853	4472	764
854	4477	759
855	4482	754
856	4487	748
857	4492	743
858	4497	738
859	4503	733
860	4508	727
861	4512	722
862	4518	717
863	4523	711
864	4528	706
865	4533	701
866	4538	696
867	4545	691
868	4550	685
869	4555	680
870	4560	675
871	4565	670
872	4571	664
873	4576	659
874	4581	654
875	4586	649
876	4592	644
877	4597	638
878	4604	633
879	4610	628
880	4616	623
881	4622	618
882	4627	613
883	4633	607
884	4638	602
885	4644	597
886	4649	592
887	4655	587
888	4660	581
889	4665	576
890	4670	571
891	4675	566
892	4680	560
893	4685	555
894	4690	550
895	4695	545
896	4701	539
897	4707	534
898	4712	529
899	4717	524
900	4723	519
901	4727	513
902	4733	508
903	4738	503
904	4742	497
905	4750	492
906	4755	487
907	4760	482
908	4766	477
909	4772	472
910	4777	466
911	4783	461
912	4789	456
913	4794	451
914	4799	445
915	4805	440
916	4810	435
917	4815	430
918	4820	424
919	4825	419
920	4830	414
921	4836	409
922	4842	403
923	4847	398
924	4852	393
925	4859	388
926	4865	383
927	4870	377
928	4875	372
929	4880	367
930	4885	362
931	4889	356
932	4895	351
933	4900	346
934	4905	341
935	4910	335
936	4915	330
937	4920	325
938	4935	320
939	4941	315
940	4959	310
941	4971	306
942	4977	300
943	4982	295
944	4988	290
945	4993	285
946	4998	279
947	5003	274
948	5008	269
949	5014	263
950	5019	258
951	5024	253
952	5029	248
953	5035	242
954	5040	237
955	5046	232
956	5051	226
957	5056	221
958	5061	216
959	5066	211
960	5071	205
961	5076	200
962	5081	195
963	5086	189
964	5091	184
965	5096	179
966	5102	174
967	5107	168
968	5112	163
969	5117	158
970	5122	152
971	5127	147
972	5132	142
973	5138	137
974	5143	131
975	5148	126
976	5153	121
977	5157	116
978	5162	110
979	5167	105
980	5172	100
981	5176	94
982	5181	89
983	5187	84
984	5192	79
985	5198	73
986	5202	68
987	5207	63
988	5212	57
989	5217	52
990	5222	47
991	5227	42
992	5232	36
993	5237	31
994	5242	26
995	5247	21
996	5252	15
997	5256	10
998	5260	5
999	5274	0
